financial_year,type,applications_registered
2007,resale,29612
2007,rental,5970
2008,resale,28551
2008,rental,3695
2009,resale,39320
2009,rental,2681
2010,resale,30061
2010,rental,2736
2011,resale,24331
2011,rental,4918
2012,resale,23579
2012,rental,4886
2013,resale,17552
2013,rental,4612
2014,resale,17673
2014,rental,4001
2015,resale,19620
2015,rental,4309
2016,resale,20894
2016,rental,4336
2017,resale,22005
2017,rental,4753
2018,resale,23476
2018,rental,4770
2019,resale,24772
2019,rental,6356
2020,resale,26436
2020,rental,9184
2021,resale,30370
2021,rental,9780
