period,max,paid,available,occupied,aor,rm_revenue,arr,revpar
2013-01,1138320,930160,1108416,935253,84.4,238.0,254.5,214.8
2013-02,1028160,860987,1006850,865561,86.0,219.5,253.6,218.0
2013-03,1138289,978904,1116897,984355,88.1,250.8,254.7,224.5
2013-04,1101870,908096,1078754,912760,84.6,231.0,253.1,214.2
2013-05,1138599,939340,1113709,944633,84.8,239.7,253.8,215.3
2013-06,1101870,946398,1082298,951709,87.9,246.5,259.0,227.7
2013-07,1138760,985951,1120089,991271,88.5,244.9,247.1,218.6
2013-08,1135074,997854,1113655,1003270,90.1,258.1,257.2,231.7
2013-09,1098150,906494,1076367,911655,84.7,253.1,277.6,235.2
2013-10,1137371,969669,1112329,975330,87.7,257.1,263.6,231.1
2013-11,1101240,932376,1080998,938717,86.8,245.1,261.1,226.7
2013-12,1132193,904213,1108022,910421,82.2,239.2,262.8,215.9
2014-01,1263963,1001202,1241193,1007027,81.1,253.7,251.9,204.4
2014-02,1137828,992851,1122173,998254,89.0,271.8,272.3,242.2
2014-03,1243301,1052382,1222875,1059132,86.6,275.3,259.9,225.1
2014-04,1201800,971929,1177716,977667,83.0,254.8,260.6,216.4
2014-05,1241860,1001070,1214141,1007351,83.0,256.1,254.2,210.9
2014-06,1204539,981144,1168397,987320,84.5,247.9,251.0,212.1
2014-07,1247905,1063403,1198794,1070176,89.3,266.8,249.3,222.5
2014-08,1247936,1084544,1203835,1091126,90.6,279.0,255.7,231.8
2014-09,1207680,959730,1146261,965413,84.2,266.5,273.5,230.3
2014-10,1247967,1018522,1189493,1024875,86.2,264.8,255.8,220.4
2014-11,1207830,995681,1162201,1002122,86.2,254.8,254.3,219.2
2014-12,1248091,976724,1194420,982812,82.3,255.5,259.9,213.9
2015-01,1349124,1050693,1282532,1056105,82.3,263.2,248.3,204.4
2015-02,1209428,991914,1175840,996861,84.8,246.3,245.8,208.4
2015-03,1338022,1090174,1302212,1096350,84.2,268.5,244.9,206.2
2015-04,1295214,1012237,1251553,1017688,81.3,244.5,240.2,195.3
2015-05,1337929,1063013,1292819,1069746,82.7,252.2,235.7,195.1
2015-06,1295794,1048010,1251065,1053811,84.2,252.9,239.9,202.1
2015-07,1336937,1162578,1293768,1168198,90.3,278.2,238.1,215.0
2015-08,1338487,1183964,1297554,1189472,91.7,295.2,248.2,227.5
2015-09,1295310,1033917,1251117,1038711,83.0,271.9,261.8,217.3
2015-10,1334612,1136736,1298193,1143016,88.0,287.9,251.8,221.7
2015-11,1291530,1050804,1256201,1056938,84.1,255.0,241.3,203.0
2015-12,1337206,1043258,1288161,1048772,81.4,258.8,240.0,195.4
