period,region,cor,hotel,friends_relatives,others
2013,TOTAL,TOTAL,65,18,18
2013,SOUTHEAST ASIA,INDONESIA,58,22,20
2013,SOUTHEAST ASIA,MALAYSIA,54,31,15
2013,SOUTHEAST ASIA,PHILIPPINES,47,34,18
2013,SOUTHEAST ASIA,THAILAND,72,16,12
2013,SOUTHEAST ASIA,VIETNAM,64,20,17
2013,NORTH ASIA,CHINA,72,17,11
2013,NORTH ASIA,TAIWAN,73,8,19
2013,NORTH ASIA,HONG KONG,73,10,17
2013,NORTH ASIA,JAPAN,79,9,13
2013,NORTH ASIA,SOUTH KOREA,57,3,40
2013,SOUTH ASIA,INDIA,59,25,16
2013,EUROPE,FRANCE,63,20,17
2013,EUROPE,GERMANY,74,9,17
2013,EUROPE,ITALY,71,6,23
2013,EUROPE,NETHERLANDS,67,5,27
2013,EUROPE,SWITZERLAND,63,11,26
2013,EUROPE,UK,71,17,11
2013,AMERICAS,CANADA,64,16,20
2013,AMERICAS,USA,75,14,11
2013,OCEANIA,AUSTRALIA,73,11,17
2013,OCEANIA,NEW ZEALAND,73,6,21
2013,AFRICA,SOUTH AFRICA,68,6,26
2014,TOTAL,TOTAL,63,19,18
2014,SOUTHEAST ASIA,INDONESIA,57,22,21
2014,SOUTHEAST ASIA,MALAYSIA,49,35,16
2014,SOUTHEAST ASIA,"PHILIP
PINES",49,33,18
2014,SOUTHEAST ASIA,"THAI
LAND",71,16,13
2014,SOUTHEAST ASIA,"VIET
NAM",62,23,16
2014,NORTH ASIA,CHINA,66,19,14
2014,NORTH ASIA,TAIWAN,71,13,15
2014,NORTH ASIA,"HONG
KONG",70,13,18
2014,NORTH ASIA,JAPAN,78,10,12
2014,NORTH ASIA,"SOUTH
KOREA",66,8,26
2014,SOUTH ASIA,INDIA,57,26,18
2014,EUROPE,FRANCE,61,17,21
2014,EUROPE,GERMANY,75,8,17
2014,EUROPE,ITALY,66,6,28
2014,EUROPE,"NETHER
LANDS",54,17,29
2014,EUROPE,"SWITZER
LAND",56,16,28
2014,EUROPE,UK,68,19,13
2014,AMERICAS,CANADA,62,15,24
2014,AMERICAS,USA,73,16,11
2014,OCEANIA,AUSTRALIA,74,12,14
2014,OCEANIA,"NEW
ZEALAND",73,8,19
2014,AFRICA,"SOUTH
AFRICA",56,5,38
